City_ID,City,Country,Weather Description,Max Temp,Lat,Lng,Hotel Name
199,Harper,LR,overcast clouds,75.34,4.375,-7.7169,Screensaver
201,North Platte,US,broken clouds,86.11,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
206,Georgetown,MY,few clouds,80.53,5.4112,100.3354,Cititel Penang
207,Bengkulu,ID,broken clouds,75.47,-3.8004,102.2655,Grage Hotel Bengkulu
212,Padang,ID,overcast clouds,77.23,-0.9492,100.3543,Mercure Padang
213,Hoa Binh,VN,broken clouds,76.35,20.8133,105.3383,Hoa Dao Hotel
216,Weligama,LK,overcast clouds,75.42,5.9667,80.4167,Weligama Bay Resort
219,Meulaboh,ID,overcast clouds,75.06,4.1363,96.1285,Kost Pria
222,Fort Thomas,US,overcast clouds,85.82,39.0751,-84.4472,"Holiday Inn Express & Suites Cincinnati SE Newport, an IHG Hotel"
223,Faanui,PF,light rain,79.07,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
226,Cozumel,MX,overcast clouds,82.99,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
229,Oeiras,BR,few clouds,87.19,-7.0253,-42.1311,Hotel SESC Oeiras
230,Kochi,IN,light rain,77.02,9.9399,76.2602,Trident Hotel Cochin
232,Fare,PF,light rain,78.96,-16.7,-151.0167,Maitai Lapita Village Huahine
242,Rochester,US,overcast clouds,84.58,43.1548,-77.6156,Hyatt Regency Rochester
247,Tutoia,BR,few clouds,79.48,-2.7619,-42.2744,Tutóia Pousada Vila Beach
251,Sao Filipe,CV,broken clouds,79.65,14.8961,-24.4956,Hotel Xaguate
255,Manokwari,ID,broken clouds,77.58,-0.8667,134.0833,Swiss Belhotel Manokwari
260,Gat,IL,clear sky,81.81,31.61,34.7642,OlusHome
267,Tarakan,ID,overcast clouds,78.3,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
287,Luganville,VU,broken clouds,80.13,-15.5333,167.1667,The Espiritu Hotel
288,Pangai,TO,few clouds,76.3,-19.8,-174.35,Ha'apai Beach Resort
291,Reconquista,AR,scattered clouds,80.33,-29.15,-59.65,Grand Hotel
293,Kalmunai,LK,overcast clouds,78.21,7.4167,81.8167,VS Villa
295,Olinda,BR,broken clouds,75.97,-8.0089,-34.8553,Flat Quatro Rodas Olinda
301,Hobyo,SO,overcast clouds,75.76,5.3505,48.5268,Iftin hotel hobyo
303,Mogadishu,SO,scattered clouds,75.83,2.0371,45.3438,Hotel Juba
304,Touros,BR,scattered clouds,76.59,-5.1989,-35.4608,INN NEW HORIZON
307,Ipixuna,BR,overcast clouds,81.43,-1.7625,-48.8043,Chalé do Mato
310,Half Moon Bay,US,scattered clouds,85.91,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
312,Beloit,US,broken clouds,84.29,42.5084,-89.0318,Best Western Legacy Inn & Suites Beloit-South Beloit
313,Alice Town,BS,scattered clouds,83.66,25.7167,-79.3,Bimini Big Game Club Resort & Marina
316,Akyab,MM,overcast clouds,81.86,20.15,92.9,Hotel Memory
319,Lujiang,CN,overcast clouds,81.21,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
322,Dhidhdhoo,MV,scattered clouds,81.05,6.8833,73.1,Dhidhoo beach
323,Cabedelo,BR,scattered clouds,75.52,-6.9811,-34.8339,Pousada Camboinha
326,Alugan,PH,overcast clouds,77.14,12.2188,125.4808,JM Lodge
327,Peace River,CA,broken clouds,88.11,56.2501,-117.286,BCMInns - Peace River
328,Sechura,PE,few clouds,75.63,-5.5569,-80.8222,Hospedaje Costa Bella
330,Jiuquan,CN,scattered clouds,77.36,39.7432,98.5174,Jiuquan Hotel
331,Pontianak,ID,broken clouds,76.98,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
333,Bol,TD,overcast clouds,77.11,13.4586,14.7147,Harrouni camp de passage
337,Lorengau,PG,scattered clouds,81.99,-2.0226,147.2712,Lorengau Harbourside Hotel
338,Brokopondo,SR,overcast clouds,81.43,4.75,-55.1667,Matu Island
339,Keti Bandar,PK,overcast clouds,81.9,24.1447,67.4497,Haji laloo memon house
340,Saint Anthony,US,scattered clouds,83.34,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
342,Tura,IN,overcast clouds,75.29,25.5198,90.2201,Hotel RIKMAN Continental
343,Mahonda,TZ,scattered clouds,75.72,-6.45,39.4667,Karamba Resort
344,Amahai,ID,overcast clouds,76.6,-3.3333,128.9167,HOTEL ISABELA
346,Aitape,PG,few clouds,77.22,-3.1374,142.3475,
347,San Rafael Del Sur,NI,broken clouds,85.55,11.8485,-86.4384,Hospedaje El Chino
350,Dingle,PH,overcast clouds,75.78,10.9995,122.6711,SEGAYA PROPERTY
351,Burns Lake,CA,clear sky,89.31,54.2331,-125.7533,Burns Lake Bed and Breakfast
353,Tiruchchendur,IN,overcast clouds,80.24,8.4833,78.1167,"Hotel Udhayam International, Thiruchendur"
360,Iberia,US,overcast clouds,88.99,29.9502,-91.7507,back to back rv park
369,Pemangkat,ID,overcast clouds,76.82,1.1667,108.9667,Ramah Kost KITA
370,Barra Do Garcas,BR,clear sky,82.4,-15.89,-52.2567,Pousada Tropical
374,Tepalcatepec,MX,overcast clouds,84.58,19.1833,-102.85,Maria De Jesus
376,Shimoda,JP,overcast clouds,82.11,34.6667,138.95,Shimoda Tokyu Hotel
377,Itarema,BR,overcast clouds,79.11,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
378,Hamilton,US,broken clouds,84.88,39.1834,-84.5333,Six Acres Bed & Breakfast
390,Puerto Escondido,MX,overcast clouds,81.72,15.85,-97.0667,Aldea del Bazar Hotel and Spa
392,Alibag,IN,overcast clouds,80.67,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
402,Abu Dhabi,AE,clear sky,89.71,24.4667,54.3667,Beach Rotana
404,Katsuura,JP,overcast clouds,79.39,35.1333,140.3,Katsuura Hotel Mikazuki
406,Shima,CN,broken clouds,77.45,24.4478,117.8111,龙海钻石大酒店
408,New Richmond,US,scattered clouds,80.83,45.123,-92.5366,Coratel Inn & Suites by Jasper New Richmond
409,Sola,VU,overcast clouds,80.31,-13.8833,167.55,Leumerus Bungalows
410,San Andres,CO,few clouds,82.49,12.5847,-81.7006,Hotel Arena Blanca
413,Grafton,US,overcast clouds,86.0,42.207,-71.6856,The Grafton Inn
415,Pacific Grove,US,few clouds,78.21,36.6177,-121.9166,Lovers Point Inn
418,Port Blair,IN,broken clouds,81.3,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
421,Honiara,SB,overcast clouds,78.75,-9.4333,159.95,Heritage Park Hotel
422,Eydhafushi,MV,overcast clouds,81.97,5.1033,73.0708,Soneva Fushi
426,Ratnagiri,IN,overcast clouds,79.39,16.9833,73.3,Hotel Landmark
428,Hambantota,LK,overcast clouds,78.53,6.1241,81.1185,Bungalow 63
