City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,Yulara,-25.2406,130.9889,46.69,48,5,11.05,AU,2022-07-20 18:59:44
59,Bengkulu,-3.8004,102.2655,76.5,90,91,2.86,ID,2022-07-20 18:59:44
60,Tuktoyaktuk,69.4541,-133.0374,55.4,82,75,12.66,CA,2022-07-20 18:59:45
61,Barrow,71.2906,-156.7887,45.37,69,31,6.22,US,2022-07-20 18:59:06
62,Talnakh,69.4865,88.3972,52.21,71,100,2.8,RU,2022-07-20 18:59:46
63,Constitucion,-35.3333,-72.4167,58.73,71,5,7.2,CL,2022-07-20 18:58:23
64,Port Alfred,-33.5906,26.891,56.17,96,100,6.85,ZA,2022-07-20 18:59:47
65,Sao Desiderio,-12.3633,-44.9733,89.91,19,5,9.19,BR,2022-07-20 18:59:47
66,Kigali,-1.95,30.0588,72.88,43,40,3.44,RW,2022-07-20 18:59:48
67,Lebu,-37.6167,-73.65,53.24,95,100,11.43,CL,2022-07-20 18:58:58
68,Cabo San Lucas,22.8909,-109.9124,94.6,63,89,7.72,MX,2022-07-20 18:58:30
69,Olafsvik,64.8945,-23.7142,51.39,76,99,12.5,IS,2022-07-20 18:59:49
70,Los Llanos De Aridane,28.6585,-17.9182,71.35,78,20,17.27,ES,2022-07-20 18:59:49
71,Goderich,43.7501,-81.7165,85.91,58,100,19.57,CA,2022-07-20 18:59:50
72,Huambo,-12.7761,15.7392,64.33,32,63,4.18,AO,2022-07-20 18:59:50
73,Airai,-8.9266,125.4092,56.86,94,82,3.31,TL,2022-07-20 18:58:56
74,Tambovka,50.0969,128.0489,62.42,90,3,3.85,RU,2022-07-20 18:59:51
75,Chuy,-33.6971,-53.4616,60.62,83,0,8.9,UY,2022-07-20 18:58:44
76,Seoul,37.5683,126.9778,74.8,91,100,16.11,KR,2022-07-20 18:57:07
77,Viseu,40.661,-7.9097,84.85,38,0,5.86,PT,2022-07-20 18:56:48
78,Jamestown,42.097,-79.2353,88.02,53,75,13.8,US,2022-07-20 18:55:59
79,Kupang,-10.1667,123.5833,74.16,87,98,9.13,ID,2022-07-20 18:59:53
80,Marawi,7.9986,124.2928,69.91,94,50,3.53,PH,2022-07-20 18:59:53
81,New Norfolk,-42.7826,147.0587,33.71,88,6,2.35,AU,2022-07-20 18:57:54
82,Severo-Kurilsk,50.6789,156.125,51.48,98,100,12.82,RU,2022-07-20 18:59:54
83,Iralaya,15.0,-83.2333,84.07,72,100,9.37,HN,2022-07-20 18:59:54
84,Sao Filipe,14.8961,-24.4956,76.53,88,88,3.36,CV,2022-07-20 18:59:26
85,Pangnirtung,66.1451,-65.7125,48.2,87,100,6.91,CA,2022-07-20 18:59:55
86,Mackay,-21.15,149.2,65.68,92,100,15.46,AU,2022-07-20 18:59:56
87,Kandrian,-6.2167,149.55,75.94,92,100,4.52,PG,2022-07-20 18:59:56
88,Georgetown,5.4112,100.3354,81.9,90,20,2.3,MY,2022-07-20 18:55:19
89,Tagusao,9.1924,117.8141,78.91,83,92,3.71,PH,2022-07-20 19:00:57
90,Saint George,37.1041,-113.5841,107.64,19,27,5.01,US,2022-07-20 19:00:01
91,Thinadhoo,0.5333,72.9333,81.34,73,100,9.53,MV,2022-07-20 18:58:13
92,Qaanaaq,77.484,-69.3632,41.18,80,100,4.9,GL,2022-07-20 19:00:58
93,Akranes,64.3218,-22.0749,52.36,76,100,9.19,IS,2022-07-20 19:00:59
94,Balkanabat,39.5108,54.3671,89.35,40,0,6.71,TM,2022-07-20 19:00:59
95,Gorom-Gorom,14.4439,-0.2361,87.62,50,100,14.25,BF,2022-07-20 19:01:00
96,Houlton,46.1262,-67.8403,81.01,39,0,11.5,US,2022-07-20 19:01:00
97,Mangrol,21.1167,70.1167,80.62,85,28,18.03,IN,2022-07-20 19:01:01
98,Lagoa,39.05,-27.9833,72.3,76,6,5.3,PT,2022-07-20 18:58:16
99,Ode,7.7899,5.7117,71.96,75,100,4.27,NG,2022-07-20 19:01:02
100,Coihaique,-45.5752,-72.0662,36.21,80,75,2.3,CL,2022-07-20 18:58:59
101,Caramoran,13.9849,124.1347,80.64,87,98,6.82,PH,2022-07-20 19:01:03
102,Mount Isa,-20.7333,139.5,53.37,37,0,9.22,AU,2022-07-20 19:01:04
103,Egvekinot,66.3167,-179.1667,35.4,66,32,10.29,RU,2022-07-20 19:01:05
104,Baruun-Urt,46.6806,113.2792,67.5,55,36,8.08,MN,2022-07-20 19:01:05
105,Cahul,45.9075,28.1944,76.95,35,19,1.54,MD,2022-07-20 18:59:08
106,Ambovombe,-25.1667,46.0833,66.61,65,0,4.38,MG,2022-07-20 19:01:06
107,Kapaa,22.0752,-159.319,80.58,82,22,3.0,US,2022-07-20 19:01:07
108,Butaritari,3.0707,172.7902,81.25,78,63,10.42,KI,2022-07-20 18:58:25
109,Mount Gambier,-37.8333,140.7667,38.97,85,0,5.84,AU,2022-07-20 19:00:47
110,Gravelbourg,49.8834,-106.5512,72.91,38,0,15.01,CA,2022-07-20 19:01:08
111,San Cristobal,7.7669,-72.225,77.18,55,90,7.92,VE,2022-07-20 18:58:41
112,Tasiilaq,65.6145,-37.6368,42.96,80,30,1.74,GL,2022-07-20 19:01:09
113,Iqaluit,63.7506,-68.5145,50.7,81,100,8.01,CA,2022-07-20 19:01:10
114,Hofn,64.2539,-15.2082,55.42,82,75,8.05,IS,2022-07-20 19:01:10
115,Kudahuvadhoo,2.6708,72.8944,80.92,73,100,13.35,MV,2022-07-20 19:01:11
116,Baghdad,33.3406,44.4009,105.71,15,0,16.11,IQ,2022-07-20 18:57:25
117,Waterloo,43.4668,-80.5164,86.65,70,47,14.0,CA,2022-07-20 19:00:37
118,Cherskiy,68.75,161.3,38.55,79,47,12.37,RU,2022-07-20 18:59:11
119,Salalah,17.0151,54.0924,76.64,96,88,6.11,OM,2022-07-20 19:01:13
120,Kavieng,-2.5744,150.7967,81.03,79,77,11.32,PG,2022-07-20 19:01:13
121,Biltine,14.5333,20.9167,78.91,60,100,10.33,TD,2022-07-20 18:58:19
122,Aklavik,68.2191,-135.0107,65.05,50,100,2.46,CA,2022-07-20 19:01:14
123,Norman Wells,65.282,-126.8329,69.84,49,75,4.61,CA,2022-07-20 18:58:01
124,Hasaki,35.7333,140.8333,75.6,83,100,8.14,JP,2022-07-20 19:00:52
125,Catumbela,-12.4314,13.5472,67.21,91,30,1.9,AO,2022-07-20 19:01:16
126,Mar Del Plata,-38.0023,-57.5575,64.94,50,0,15.99,AR,2022-07-20 19:01:16
127,Christchurch,-43.5333,172.6333,43.0,93,75,27.63,NZ,2022-07-20 18:56:44
128,Hilo,19.7297,-155.09,80.28,87,64,3.0,US,2022-07-20 19:01:17
129,Rio Gallegos,-51.6226,-69.2181,35.44,69,100,37.94,AR,2022-07-20 19:01:18
130,Usinsk,65.9939,57.5281,62.46,62,3,9.19,RU,2022-07-20 19:01:18
131,Balkhash,46.844,74.9804,76.15,43,0,11.54,KZ,2022-07-20 19:01:19
132,Aktas,49.7789,72.9608,78.55,49,83,10.63,KZ,2022-07-20 19:01:20
133,Rio Grande,-32.035,-52.0986,67.95,85,0,11.34,BR,2022-07-20 19:01:20
134,Ilulissat,69.2167,-51.1,60.82,39,75,14.97,GL,2022-07-20 19:01:21
135,Lyubytino,58.8122,33.3922,61.29,92,32,9.89,RU,2022-07-20 19:01:21
